PERMNO,date,RET
10107,20131203,-0.003641
10107,20131204,0.016445
10107,20131205,-0.024140
10107,20131206,0.009474
10107,20131209,0.008994
10107,20131210,-0.015373
10107,20131211,-0.013120
10107,20131212,-0.010370
10107,20131213,-0.014240
10107,20131216,0.005315
10107,20131217,-0.009896
10107,20131218,0.001643
10107,20131219,-0.009021
10107,20131220,0.015172
10107,20131223,-0.004891
10107,20131224,0.012562
10107,20131226,0.009709
10107,20131227,-0.004006
10107,20131230,0.000000
10107,20131231,0.003218
10107,20140102,-0.006683
10107,20140103,-0.006728
10107,20140106,-0.021132
10107,20140107,0.007750
10107,20140108,-0.017852
10107,20140109,-0.006432
10107,20140110,0.014354
10107,20140113,-0.029412
10107,20140114,0.022870
10107,20140115,0.027390
10107,20140116,0.003536
10107,20140117,-0.013825
10107,20140121,-0.005772
10107,20140122,-0.006635
10107,20140123,0.003479
10107,20140124,0.020802
10107,20140127,-0.021057
10107,20140128,0.006661
10107,20140129,0.010753
10107,20140130,0.005456
10107,20140131,0.026587
10107,20140203,-0.035941
10107,20140204,-0.003564
10107,20140205,-0.014580
10107,20140206,0.010050
10107,20140207,0.010503
10107,20140210,0.006564
10107,20140211,0.010190
10107,20140212,0.007935
10107,20140213,0.003736
10107,20140214,0.000266
10107,20140218,0.002127
10107,20140219,0.002405
10107,20140220,0.006398
10107,20140221,0.006093
10107,20140224,-0.007636
10107,20140225,-0.003980
10107,20140226,-0.001865
10107,20140227,0.010408
10107,20140228,0.011886
10107,20140303,-0.013835
10107,20140304,0.016676
10107,20140305,-0.007810
10107,20140306,0.001050
10107,20140307,-0.006553
10107,20140310,-0.002111
10107,20140311,0.005288
10107,20140312,0.006575
10107,20140313,-0.009929
10107,20140314,-0.005014
10107,20140317,0.009284
10107,20140318,0.039422
10107,20140319,-0.007080
10107,20140320,0.026993
10107,20140321,-0.004215
10107,20140324,0.008466
10107,20140325,-0.003951
10107,20140326,-0.013634
10107,20140327,-0.010807
10107,20140328,0.023882
10107,20140331,0.017122
10107,20140401,0.010490
10107,20140402,-0.001690
10107,20140403,-0.008222
10107,20140404,-0.027798
10107,20140407,-0.001756
10107,20140408,0.000503
10107,20140409,0.016323
10107,20140410,-0.027428
10107,20140411,-0.003836
10107,20140414,-0.000740
10107,20140415,0.014548
10107,20140416,0.016352
10107,20140417,-0.009654
10107,20140421,-0.001750
10107,20140422,0.001252
10107,20140423,-0.007502
10107,20140424,0.004283
10107,20140425,0.001254
10107,20140428,0.024054
10107,20140429,-0.008808
10107,20140430,-0.002715
10107,20140501,-0.009901
10107,20140502,-0.007750
10107,20140505,-0.006551
10107,20140506,-0.009384
10107,20140507,0.009345
10107,20140508,0.005453
10107,20140509,-0.002523
10107,20140512,0.010875
10107,20140513,0.018264
10107,20140514,-0.004453
10107,20140515,-0.015905
10107,20140516,0.005808
10107,20140519,-0.002009
10107,20140520,-0.001761
10107,20140521,0.016885
10107,20140522,-0.006196
10107,20140523,0.000499
10107,20140527,0.001745
10107,20140528,-0.004479
10107,20140529,0.008248
10107,20140530,0.014874
10107,20140602,-0.003664
10107,20140603,-0.012258
10107,20140604,0.000745
10107,20140605,0.022073
10107,20140606,0.006552
10107,20140609,-0.005063
10107,20140610,-0.003877
10107,20140611,-0.006081
10107,20140612,-0.006853
10107,20140613,0.016018
10107,20140616,0.006549
10107,20140617,0.004337
10107,20140618,-0.000720
10107,20140619,-0.003361
10107,20140620,0.004095
10107,20140623,0.007438
10107,20140624,-0.005835
10107,20140625,0.006827
10107,20140626,-0.007376
10107,20140627,0.012704
10107,20140630,-0.013018
10107,20140701,0.004077
10107,20140702,0.000717
10107,20140703,-0.002387
10107,20140707,0.004546
10107,20140708,-0.005001
10107,20140709,-0.002633
10107,20140710,0.000360
10107,20140711,0.009716
10107,20140714,0.001188
10107,20140715,0.007356
10107,20140716,0.038398
10107,20140717,0.010209
10107,20140718,0.003593
10107,20140721,0.003245
10107,20140722,-0.000111
10107,20140723,0.000892
10107,20140724,-0.010475
10107,20140725,0.002252
10107,20140728,-0.011910
10107,20140729,-0.001933
10107,20140730,-0.006984
10107,20140731,-0.009603
10107,20140801,-0.006951
10107,20140804,0.011899
10107,20140805,-0.006687
10107,20140806,-0.007892
10107,20140807,0.011465
10107,20140808,-0.000694
10107,20140811,0.000000
10107,20140812,0.007407
10107,20140813,0.012868
10107,20140814,0.004310
10107,20140815,0.011746
10107,20140818,0.007144
10107,20140819,0.011084
10107,20140820,-0.008383
10107,20140821,0.006007
10107,20140822,-0.001548
10107,20140825,0.000443
10107,20140826,-0.003653
10107,20140827,-0.003000
10107,20140828,0.000223
10107,20140829,0.012255
10107,20140902,-0.007484
10107,20140903,-0.002883
10107,20140904,0.006673
10107,20140905,0.014362
10107,20140908,0.012198
10107,20140909,0.006241
10107,20140910,0.001711
10107,20140911,0.003416
10107,20140912,-0.006489
10107,20140915,-0.009744
10107,20140916,0.011246
10107,20140917,-0.005133
10107,20140918,0.003439
10107,20140919,0.017995
10107,20140922,-0.009680
10107,20140923,-0.010625
10107,20140924,0.011168
10107,20140925,-0.022090
10107,20140926,0.008036
10107,20140929,0.000646
10107,20140930,-0.001723
10107,20141001,-0.009922
10107,20141002,-0.003050
10107,20141003,0.007212
10107,20141006,0.000000
10107,20141007,-0.012150
10107,20141008,0.027454
10107,20141009,-0.019880
10107,20141010,-0.039695
10107,20141013,-0.008630
10107,20141014,0.001833
10107,20141015,-0.011662
10107,20141016,-0.011106
10107,20141017,0.020824
10107,20141020,0.010314
10107,20141021,0.018149
10107,20141022,-0.011141
10107,20141023,0.014421
10107,20141024,0.024656
10107,20141027,-0.004769
10107,20141028,0.012633
10107,20141029,0.002796
10107,20141030,-0.012227
10107,20141031,0.019544
10107,20141103,0.010437
10107,20141104,0.002740
10107,20141105,0.006096
10107,20141106,0.017551
10107,20141107,-0.000411
10107,20141110,0.004314
10107,20141111,-0.000409
10107,20141112,-0.001842
10107,20141113,0.017015
10107,20141114,-0.000605
10107,20141117,-0.002420
10107,20141118,-0.008289
10107,20141119,-0.010669
10107,20141120,0.009954
10107,20141121,-0.014784
10107,20141124,-0.008128
10107,20141125,-0.002522
10107,20141126,0.005898
10107,20141128,0.001257
10107,20141201,0.016942
10107,20141202,-0.003291
10107,20141203,-0.007841
10107,20141204,0.015807
10107,20141205,-0.008600
10107,20141208,-0.014973
10107,20141209,-0.002201
10107,20141210,-0.014499
10107,20141211,0.005757
10107,20141212,-0.004664
10107,20141215,-0.005964
10107,20141216,-0.032355
10107,20141217,0.012843
10107,20141218,0.038916
10107,20141219,0.002946
10107,20141222,0.006714
10107,20141223,0.009796
10107,20141224,-0.006398
10107,20141226,-0.005401
10107,20141229,-0.008981
10107,20141230,-0.009062
10107,20141231,-0.012122
10107,20150102,0.006674
10107,20150105,-0.009303
10107,20150106,-0.014571
10107,20150107,0.012705
10107,20150108,0.029418
10107,20150109,-0.008405
10107,20150112,-0.012503
