Date,VWRETD,TWTR,AMZN,TSLA
20131108,0.01236,-0.072383,0.019647,-0.013036
20131111,0.001005,0.030012,0.011613,0.048916
20131112,-0.00225,-0.02331,-0.01368,-0.047672
20131113,0.008522,0.016706,0.01914,0.006531
20131114,0.004572,0.049061,0.031374,-0.007931
20131115,0.004411,-0.015887,0.004829,-0.015625
20131118,-0.00465,-0.064575,-0.008099,-0.102399
20131119,-0.003368,0.014827,-0.003386,0.037095
20131120,-0.003294,-0.016766,-0.006494,-0.039496
20131121,0.008663,0.024604,0.017514,0.008174
20131122,0.004567,-0.025202,0.009189,-0.005897
20131125,-0.001438,-0.047317,0.01163,-0.004449
20131126,0.001079,0.028674,0.012558,-0.002814
20131127,0.00274,0.017919,0.014002,0.053444
20131129,0.000158,0.016381,0.017869,0.002678
20131202,-0.003638,-0.019004,-0.003353,-0.024434
20131203,-0.003717,0.014468,-0.019475,0.165338
20131204,-0.000941,0.056079,0.00338,-0.039737
20131205,-0.003515,0.044175,-0.003809,0.011011
20131206,0.009688,-0.014687,0.006398,-0.02221
20131209,0.001868,0.093215,-0.005324,0.030868
20131210,-0.002816,0.057998,0.007509,0.004167
20131211,-0.012076,0.006732,-0.014415,-0.017863
20131212,-0.002543,0.057126,-0.00246,0.055997
20131213,0.001277,0.066329,0.007843,0.001248
20131216,0.006448,-0.040508,0.01231,0.001937
20131217,-0.002346,-0.002826,-0.003394,0.030553
20131218,0.014471,-0.016652,0.021437,-0.029385
20131219,-0.001025,0.035669,-0.001945,-0.049061
20131220,0.006907,0.043834,0.017738,0.017908
20131223,0.006233,0.075487,0.00179,0.002164
20131224,0.003479,0.083979,-0.009233,0.054754
20131226,0.003997,0.047885,0.013001,0.027013
20131227,-0.000061,-0.130405,-0.015604,-0.028167
20131230,0.000276,-0.050824,-0.011832,0.008735
20131231,0.004258,0.051892,0.013778,-0.013192
20140102,-0.008763,0.060487,-0.002056,-0.002187
20140103,0.000491,0.022222,-0.003845,-0.003598
20140106,-0.003342,-0.039275,-0.007088,-0.017117
20140107,0.006093,-0.072862,0.011178,0.016054
20140108,0.000157,-0.035308,0.009773,0.012855
20140109,0.000089,-0.03778,-0.002264,-0.024788
20140110,0.003567,-0.000876,-0.008354,-0.012269
20140113,-0.011649,0.014386,-0.016798,-0.043782
20140114,0.010265,0.006745,0.016778,0.157385
20140115,0.005069,0.057722,-0.004201,0.017734
20140116,-0.00028,-0.016242,-0.000177,0.041674
20140117,-0.003456,0.026911,0.009626,-0.005615
20140121,0.003353,0.005305,0.018618,0.039233
20140122,0.001485,-0.001439,-0.006166,0.010641
20140123,-0.008166,0.005766,-0.011544,0.016465
20140124,-0.021149,-0.016879,-0.030685,-0.038017
20140127,-0.006635,-0.062034,-0.003406,-0.028522
20140128,0.007297,0.043688,0.021099,0.051645
20140129,-0.009938,-0.01638,-0.025936,-0.017659
20140130,0.011495,0.06762,0.048959,0.043429
20140131,-0.005801,0.016228,-0.109972,-0.007821
20140203,-0.023214,0.011628,-0.034961,-0.023703
20140204,0.007618,0.016398,0.0052,0.009147
20140205,-0.001952,-0.005277,-0.004311,-0.024115
20140206,0.011932,-0.241625,0.023495,0.022704
20140207,0.012602,0.086348,0.018303,0.045689
20140210,0.001577,-0.026311,-0.000582,0.053772
20140211,0.010608,0.020408,0.002549,0.000305
20140212,0.001151,0.052778,-0.034661,-0.006612
20140213,0.00696,-0.006684,0.022763,0.022066
20140214,0.004106,0.017177,0.00042,-0.007013
20140218,0.003183,0.012883,-0.010354,0.027594
20140219,-0.006801,-0.046064,-0.017729,-0.049386
20140220,0.006444,0.02036,0.006966,0.084332
20140221,-0.000818,-0.012538,-0.008691,-0.001762
20140224,0.006178,-0.002504,0.014477,0.038406
20140225,-0.00127,-0.014701,0.018591,0.139444
20140226,0.001033,0.016557,0.00413,0.020161
20140227,0.004902,-0.00179,0.000917,-0.001818
20140228,0.001674,-0.01542,0.00547,-0.030609
20140303,-0.006643,-0.021854,-0.006407,0.023488
20140304,0.015445,0.010613,0.011451,0.017082
20140305,0.000356,0.001842,0.023276,-0.008554
20140306,0.001725,0.008275,-0.000564,0.001108
20140307,-0.000795,-0.02371,-0.000269,-0.026607
20140310,-0.00126,0.006538,-0.004112,-0.029934
20140311,-0.005529,0.002598,-0.004615,-0.018548
20140312,0.0013,0.008886,0.004935,0.030203
20140313,-0.011145,-0.017064,0.002347,-0.015322
20140314,-0.001383,-0.030801,0.006003,-0.028681
